RowID,Product ID,Category,Sub-Category,Product Name,Price
122,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,102.95
123,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",1.194
124,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",34.856
125,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,79.52
126,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,11.994
127,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,39.152
128,OFF-FA-10002780,Office Supplies,Fasteners,Staples,2.384
129,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,6.68
130,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44
131,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",2.88
132,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,2.01
133,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,25.392
134,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,10.98
135,OFF-AR-10000940,Office Supplies,Art,Newell 343,2.94
136,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,3.62
137,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,47.9
138,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,279.81
139,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",23.472
140,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,34.95
141,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,49.99
142,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,34.31
143,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,31.584
144,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,101.592
145,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,8.34
146,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,26.38
147,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",13.48
148,OFF-AR-10001547,Office Supplies,Art,Newell 311,2.21
149,OFF-LA-10002475,Office Supplies,Labels,Avery 519,7.31
150,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,134.99
151,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98
152,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,27.192
153,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,5.68
154,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,13.84
155,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,3.312
156,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,1019.994
157,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,91.976
158,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,193.34
159,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,5.344
160,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,35.596
161,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,47.992
162,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",6.98
163,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,55.48
164,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",48.592
165,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,26.224
166,OFF-LA-10003148,Office Supplies,Labels,Avery 51,5.04
167,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",24.316
168,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",56.686
169,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,3.176
170,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
171,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",12.408
172,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,58.392
173,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,125.99
174,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),29.99
175,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,14.5
176,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,3.58
177,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,22.1
178,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",12.408
179,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",224.784
180,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,11.96
181,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,6.48
182,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,3.98
183,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",3.704
184,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",2.016
185,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,15.42
186,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.473
187,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",5.352
188,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,7.248
189,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,109.375
190,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
191,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,33.142
192,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",5.024
193,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,111.192
194,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",20.98
195,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,65.99
196,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",5.81
197,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
198,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,10.4
199,OFF-LA-10004544,Office Supplies,Labels,Avery 505,11.84
200,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,90.49
201,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,132
202,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,44.792
203,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,100.792
204,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,2.792
205,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",3.784
206,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",18.176
207,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,119.997
208,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,13.584
209,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
210,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,124.49
211,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
212,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,80.784
213,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.712
214,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,2.664
215,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,116.93
216,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,206.8715
217,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",86.024
218,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,205.992
219,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.28
220,OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,5.184
221,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,83.936
222,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,3.896
223,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,15.992
224,FUR-TA-10002607,Furniture,Tables,KI Conference Tables,35.445
225,FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,1.348
226,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,83.36
227,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",7.98
228,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65
229,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",160.784
230,OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61
231,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",13.43
232,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,90.48
233,OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",41.184
234,TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,107.984
235,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,6.79
236,OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,73.85
237,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,3.504
238,OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,0.812
239,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,359.994
240,TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,82.056
241,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,39.95
242,OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",4.672
243,OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,1.26
244,OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,37.208
245,OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",19.192
246,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,181.46
247,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,29.99
248,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,1.76
249,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,3.64
250,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41
251,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98
252,OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",5.824
253,OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",4.544
254,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,9.952
255,OFF-LA-10002043,Office Supplies,Labels,Avery 489,8.28
256,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,0.416
257,TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,159.2
258,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",207.768
259,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,28.352
260,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,47.96
261,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,5.184
262,OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,36.294
263,OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,192.296
264,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,2.728
265,OFF-LA-10004689,Office Supplies,Labels,Avery 512,2.312
266,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,127.992
267,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",28.99
268,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",37.552
269,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,76.784
270,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,72.784
271,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,15.72
272,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",9.184
273,OFF-PA-10002105,Office Supplies,Paper,Xerox 223,6.48
274,OFF-ST-10002756,Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",135.31
275,OFF-PA-10004243,Office Supplies,Paper,Xerox 1939,18.97
276,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",19.4
277,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,14.28
278,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,73.025
279,FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,13.4
