Row ID,Order ID,Order Date,Ship Mode,Customer ID,Product ID,Category,Sub-Category,Product Name,Quantity,Sales
80,CA-2016-127208,6/12/2016,First Class,SC-20770,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1,$208.16 
81,CA-2016-127208,6/12/2016,First Class,SC-20770,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,3,$16.74 
82,CA-2014-139451,10/12/2014,Standard Class,DN-13690,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5,$14.90 
83,CA-2014-139451,10/12/2014,Standard Class,DN-13690,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",1,$21.39 
84,CA-2015-149734,9/3/2015,Standard Class,JC-16105,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7,$200.98 
85,US-2017-119662,11/13/2017,First Class,CS-12400,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,3,$230.38 
86,CA-2017-140088,5/28/2017,Second Class,PO-18865,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2,$301.96 
87,CA-2017-155558,10/26/2017,Standard Class,PG-18895,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1,$19.99 
88,CA-2017-155558,10/26/2017,Standard Class,PG-18895,OFF-LA-10000134,Office Supplies,Labels,Avery 511,2,$6.16 
89,CA-2016-159695,4/5/2016,Second Class,GM-14455,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,7,$158.37 
90,CA-2016-109806,9/17/2016,Standard Class,JS-15685,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,3,$20.10 
91,CA-2016-109806,9/17/2016,Standard Class,JS-15685,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,2,$73.58 
92,CA-2016-109806,9/17/2016,Standard Class,JS-15685,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,1,$6.48 
93,CA-2015-149587,1/31/2015,Second Class,KB-16315,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,2,$12.96 
94,CA-2015-149587,1/31/2015,Second Class,KB-16315,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",3,$53.34 
95,CA-2015-149587,1/31/2015,Second Class,KB-16315,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,2,$32.96 
96,US-2017-109484,11/6/2017,Standard Class,RB-19705,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,1,$5.68 
97,CA-2017-161018,11/9/2017,Second Class,PN-18775,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,7,$96.53 
98,CA-2017-157833,6/17/2017,First Class,KD-16345,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,3,$51.31 
99,CA-2016-149223,9/6/2016,Standard Class,ER-13855,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,6,$77.88 
100,CA-2016-158568,8/29/2016,Standard Class,RB-19465,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,7,$64.62 
101,CA-2016-158568,8/29/2016,Standard Class,RB-19465,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3,$95.98 
102,CA-2016-158568,8/29/2016,Standard Class,RB-19465,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,3,$1.79 
103,CA-2016-129903,12/1/2016,Second Class,GZ-14470,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),4,$23.92 
104,US-2015-156867,11/13/2015,Standard Class,LC-16870,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,6,$238.90 
105,US-2015-156867,11/13/2015,Standard Class,LC-16870,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3,$102.36 
106,US-2015-156867,11/13/2015,Standard Class,LC-16870,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",3,$36.88 
107,CA-2017-119004,11/23/2017,Standard Class,JM-15250,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8,$74.11 
108,CA-2017-119004,11/23/2017,Standard Class,JM-15250,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,1,$27.99 
109,CA-2017-119004,11/23/2017,Standard Class,JM-15250,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,1,$3.30 
110,CA-2015-129476,10/15/2015,Standard Class,PA-19060,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,5,$339.96 
111,CA-2017-146780,12/25/2017,Standard Class,CV-12805,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,2,$41.96 
112,CA-2016-128867,11/3/2016,Standard Class,CL-12565,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",2,$75.96 
113,CA-2016-128867,11/3/2016,Standard Class,CL-12565,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",6,$27.24 
114,CA-2014-115259,8/25/2014,Second Class,RC-19960,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",14,$40.10 
115,CA-2014-115259,8/25/2014,Second Class,RC-19960,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2,$4.72 
116,CA-2014-115259,8/25/2014,Second Class,RC-19960,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,3,$23.98 
117,CA-2014-115259,8/25/2014,Second Class,RC-19960,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6,$130.46 
118,CA-2015-110457,3/2/2015,Standard Class,DK-13090,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,3,$787.53 
119,US-2015-136476,4/5/2015,Standard Class,GG-14650,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,1,$157.79 
120,CA-2016-103730,6/12/2016,First Class,SC-20725,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,3,$47.04 
121,CA-2016-103730,6/12/2016,First Class,SC-20725,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,4,$30.84 
122,CA-2016-103730,6/12/2016,First Class,SC-20725,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",6,$226.56 
123,CA-2016-103730,6/12/2016,First Class,SC-20725,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,9,$115.02 
124,CA-2016-103730,6/12/2016,First Class,SC-20725,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,7,$68.04 
125,US-2014-152030,12/26/2014,Second Class,AD-10180,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,3,$600.56 
126,US-2014-134614,9/20/2014,Standard Class,PF-19165,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,6,$617.70 
127,US-2017-107272,11/5/2017,Standard Class,TS-21610,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2,$2.39 
128,US-2017-107272,11/5/2017,Standard Class,TS-21610,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",7,$243.99 
129,US-2016-125969,11/6/2016,Second Class,LS-16975,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",2,$81.42 
130,US-2016-125969,11/6/2016,Second Class,LS-16975,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3,$238.56 
131,US-2017-164147,2/2/2017,First Class,DW-13585,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,5,$59.97 
132,US-2017-164147,2/2/2017,First Class,DW-13585,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,2,$78.30 
133,US-2017-164147,2/2/2017,First Class,DW-13585,OFF-FA-10002780,Office Supplies,Fasteners,Staples,9,$21.46 
134,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,3,$20.04 
135,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,1,$35.44 
136,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",4,$11.52 
137,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,2,$4.02 
138,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,3,$76.18 
139,CA-2016-145583,10/13/2016,Standard Class,LC-16885,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,6,$65.88 
140,CA-2016-145583,10/13/2016,Standard Class,LC-16885,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,14,$43.12 
141,CA-2016-110366,9/5/2016,Second Class,JD-15895,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2,$82.80 
142,CA-2017-106180,9/18/2017,Standard Class,SH-19975,OFF-AR-10000940,Office Supplies,Art,Newell 343,3,$8.82 
143,CA-2017-106180,9/18/2017,Standard Class,SH-19975,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,3,$10.86 
144,CA-2017-106180,9/18/2017,Standard Class,SH-19975,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,3,$143.70 
145,CA-2017-155376,12/22/2017,Standard Class,SG-20080,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3,$839.43 
146,CA-2015-110744,9/7/2015,Standard Class,HA-14920,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,7,$671.93 
147,CA-2014-110072,10/22/2014,Standard Class,MG-17680,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",4,$93.89 
148,CA-2016-114489,12/5/2016,Standard Class,JE-16165,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,11,$384.45 
149,CA-2016-114489,12/5/2016,Standard Class,JE-16165,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,3,$149.97 
150,CA-2016-114489,12/5/2016,Standard Class,JE-16165,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",8,"$1,951.84 "
151,CA-2016-114489,12/5/2016,Standard Class,JE-16165,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,5,$171.55 
152,CA-2016-158834,3/13/2016,First Class,TW-21025,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5,$157.92 
153,CA-2016-158834,3/13/2016,First Class,TW-21025,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,2,$203.18 
154,CA-2015-124919,5/31/2015,First Class,SP-20650,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,7,$58.38 
155,CA-2015-124919,5/31/2015,First Class,SP-20650,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,4,$105.52 
156,CA-2015-124919,5/31/2015,First Class,SP-20650,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",6,$80.88 
157,CA-2015-118948,5/28/2015,Standard Class,NK-18490,OFF-AR-10001547,Office Supplies,Art,Newell 311,3,$6.63 
158,CA-2014-104269,3/1/2014,Second Class,DB-13060,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2,$457.57 
159,CA-2016-114104,11/20/2016,Standard Class,NP-18670,OFF-LA-10002475,Office Supplies,Labels,Avery 519,2,$14.62 
160,CA-2016-114104,11/20/2016,Standard Class,NP-18670,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,7,$944.93 
161,CA-2016-162733,5/11/2016,First Class,TT-21070,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,1,$5.98 
162,CA-2015-119697,12/28/2015,Second Class,EM-13960,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,2,$54.38 
163,CA-2016-154508,11/16/2016,Standard Class,RD-19900,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,5,$28.40 
164,CA-2016-113817,11/7/2016,Standard Class,MJ-17740,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,2,$27.68 
165,CA-2014-139892,9/8/2014,Standard Class,BM-11140,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,3,$9.94 
166,CA-2014-139892,9/8/2014,Standard Class,BM-11140,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8,"$8,159.95 "
167,CA-2014-139892,9/8/2014,Standard Class,BM-11140,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,3,$275.93 
168,CA-2014-139892,9/8/2014,Standard Class,BM-11140,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,9,"$1,740.06 "
169,CA-2014-139892,9/8/2014,Standard Class,BM-11140,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,6,$32.06 
170,CA-2014-139892,9/8/2014,Standard Class,BM-11140,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,5,$177.98 
171,CA-2014-139892,9/8/2014,Standard Class,BM-11140,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,3,$143.98 
