job,doc,borough,house,street_name,job_type,job_status_descrp,landmarked,adult_estab,latest_action_date,existing_occupancy,proposed_occupancy,owner_type,job_description,initial_cost
110088592,1,MANHATTAN,1260,BROADWAY,A2,PLAN EXAM - DISAPPROVED,Y,N,2008-03-16 ,E,,PARTNERSHIP,"LEGALIZE A/C EQUIPMENT AS PER PLANS.  NO CHANGE IN EGRESS, OCCUPANCY OR USE UNDER THIS APPLICATION.",$25000.00
110091310,1,MANHATTAN,111,4 AVENUE,A2,SIGNED OFF,N,N,2009-07-29 ,RES,,CORPORATION,"Minor interior demolition, removal of storefronts.  No change to use, occupancy or egress.",$10000.00
102526376,1,MANHATTAN,19,UNION SQUARE WEST,A2,SIGNED OFF,N,N,2001-10-17 ,,,CORPORATION,"TERRA COTTA RESTORATION AT VARIOUS FLOORS ON THE SOUTH AND EAST ELEVATIONS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$145000.00
110089065,1,MANHATTAN,601,WEST   26 STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,Y,N,2008-03-11 ,,,PARTNERSHIP,INSTALL NEW DEVICES TIED INTO EXISTINGCLASS E FIRE ALARM SYSTEM,$14000.00
103030765,1,MANHATTAN,895,PARK AVENUE,A2,SIGNED OFF,N,N,2002-06-10 ,RES,,CORPORATION,Local Law 11 work including facade repair including brick repair/replacement and lintel and sill repairs.,$426000.00
103030774,1,MANHATTAN,353,FORT WASHINGTON AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2003-06-03 ,J-2,,CORPORATION,Adding ramp for handicap accessability for front entrance.,$1500.00
110089074,1,MANHATTAN,211,EAST   35 STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2008-05-19 ,RES,,INDIVIDUAL,Proposed: General renovation of apartment # II G. No change in occupancy use or means of egress.,$10000.00
103030934,1,MANHATTAN,247,WEST   30 STREET,A1,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2002-03-11 ,COM,COM,INDIVIDUAL,"To change use of cellar , first and Mezz . of existing commercial buildi works done under application       # 103013070.",$30000.00
103030934,2,MANHATTAN,247,WEST   30 STREET,A1,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2002-03-11 ,,,,INSTALLATION PLUMBING FIXTURES IN CELLAR THIS APPLICATION IS FILED IN CONJUCTION WITH #103013070,$0.00
103030943,1,MANHATTAN,145,WEST   42 STREET,A2,PLAN EXAM - APPROVED,N,N,2002-01-07 ,,,CORPORATION,HEREWITH FILING TO REMOVE EXISTING STORE  FRONT DOORS.REPLACE EXISTING W TH REVOLVING DOOR AND SWING DOOR ALONG W ITH WINDOW REPLACEMENT & THE CONSTRUCTI N OF A TEMPORARY CONST. FENCE AS PER DRAWINGS. NO CHANGE IN USE EGRESS OR OCCUPANCY,$250000.00
321716602,1,BROOKLYN,505,COURT STREET,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2018-01-31 ,RES,RES,CORPORATION,"INVESTIGATIVE PROBE AND REPAIR AS PER PLANS FILED HEREWITH. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$270000.00
103030952,1,MANHATTAN,245,5 AVENUE,A2,PLAN EXAM - APPROVED,Y,N,2002-07-30 ,COM,,PARTNERSHIP,MODIFICATION TO EXISTING SPRINKLER SYSTE M AS PER PLANS FILED HEREWITH N CHANGE IN USE EGRESS OR OCCUPANCY.,$14500.00
103031078,1,MANHATTAN,444,MADISON AVENUE,A2,PLAN EXAM - APPROVED,N,N,2001-11-13 ,E,,CORPORATION,"CONSTRUCT INTERIOR PARTITIONS AND HUNG CEILINGS  AS PER PLANS FILED HEREWITH. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",$60000.00
123515650,1,MANHATTAN,437,MADISON AVENUE,A2,SIGNED OFF,N,N,2020-04-21 ,COM,COM,PARTNERSHIP,"INSTALL SPRINKLER HEADS AND PIPING AS SHOWN ON DRAWINGS FILED HEREWITH.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$21000.00
103031345,1,MANHATTAN,240,GREENE STREET,A3,SIGNED OFF,N,N,2013-12-05 ,PUB,,INDIVIDUAL,INSTALLATION OF HEAVY DUTY SIDEWALK SHED 40'DURING FACADE REPAIR NO CHANGE IN USE EGRESS OR OCCUPANCY SHED TO COMPLY WITH LL33/91,$0.00
103031354,1,MANHATTAN,542,WEST  112 STREET,A3,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2001-11-26 ,RES,,CORPORATION,INSTALLATION OF A HEAVY DUTY SHED 296' DURING FACADE REPAIR NO CHANGE IN USE EGRESS OR OCCUPANCY SHED TO COMPLY WITH LL33/91,$0.00
103031363,1,MANHATTAN,600,WEST  114 STREET,A3,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2003-01-02 ,RES,,CORPORATION,INSTALLATION OF A HEAVY DUTY SHED 163' DURING MANSONARY REPAIR NO CHANGE IN USE EGRESS OR OCCUPANCY SHED TO COMPLY WITH LL33/91,$0.00
103031372,1,MANHATTAN,610,WEST  116 STREET,A3,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2002-10-16 ,RES,,CORPORATION,INSTALLATION OF HEAVYDUTY SIDEWALK BRIDG E 90'DURING FACADE REPAIR NO CHANGE IN USE EGRESS OR OCCUPANCY SHED TO COMPLY WITH LL33/91,$0.00
123196870,1,MANHATTAN,220,12TH AVENUE,A2,SIGNED OFF,Y,N,2018-09-28 ,COM,COM,CORPORATION,APPLICATION FILED FOR INTERIOR DEMOLITION AND CONSTRUCTION OF PARTITIONS AND FINISHES FOR NEW COMMERCIAL TENANT (DIPPIN? SAUCE) AT THE 7TH FLOOR (BUILDING SECTION 16).,$50000.00
102526367,1,MANHATTAN,1601,BROADWAY,A2,PLAN EXAM - DISAPPROVED,N,N,2001-04-17 ,,,CORPORATION,"MODIFICATION TO EXISTING FIRE ALARM SYSTEM INVOLVING THE INSTALLATION OF SPEAKERS AND STROBES. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",$5000.00
110091329,1,MANHATTAN,37,WEST   24 STREET,A3,SIGNED OFF,N,N,2008-05-15 ,COM,,PARTNERSHIP,"INSTALLATION OF A SCAFFOLD 15' LONG X 50' HIGH ON THE EXISTING SIDEWALK SHED # 104532070 FOR 4TH FLOOR WINDOW WORK. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$0.00
123159919,1,MANHATTAN,30,PARK PLACE,A2,SIGNED OFF,N,N,2020-02-13 ,J-2,J-2,CONDO/CO-OP,"FILED HEREWITH INTERIOR RENOVATION TO DUPLEX UNIT 48D (33RD, 34TH FLOOR CONSTRUCTION). NON LOAD-BEARING PARTITION WALLS AND RELOCATION OF SPRINKLER HEADS. NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",$31775.00
102504069,1,MANHATTAN,787,7 AVENUE,A2,SIGNED OFF,N,N,2020-02-20 ,COM,,PARTNERSHIP,MODIFICATION TO EXISTING SPRINKLER SYSTE  M AS PER PLANS NO CHANGE IN USE EGRESS OR OCCUPANCY,$10000.00
140808516,1,MANHATTAN,104,W 40 STREET,A2,PLAN EXAM - APPROVED,Y,N,2018-10-24 ,RES,RES,CORPORATION,"FILING FACADE REPAIR AS SHOWN ON DRAWINGS S-001 THRU S-010. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$96635.00
220626268,1,BRONX,40,W BURNSIDE AVENUE,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2017-11-21 ,COM,COM,CORPORATION,"PROPOSE INSTALLATION OF NEW STOREFRONT IN   EXISTING MASONRY OPENINGS AS PER PLANS   SUBMITTED HEREWITH. NO CHANGE OF USE,   OCCUPANCY OR EGRESS UNDER THIS APPLICATION.",$12000.00
340564213,1,BROOKLYN,800,KNICKERBOCKER AVENUE,A3,SIGNED OFF,N,N,2018-12-24 ,,,CORPORATION,BPP FILED IN CONJUNCTION WITH ALT1. TOTAL STREET FRONTAGE 20',$0.00
102509803,1,MANHATTAN,736,RIVERSIDE DRIVE,A2,PLAN EXAM - DISAPPROVED,N,N,2001-10-18 ,E,,INDIVIDUAL,"INSTALLATION OF PLUMBING FIXTURES DUE TO A FIRE AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",$20000.00
123203345,1,MANHATTAN,120,EAST 87 STREET,A2,PLAN EXAM - APPROVED,N,N,2017-12-12 ,J-2,J-2,CONDO/CO-OP,"MINOR RENOVATION OF APT P20A/P20B. NO CHANGE IN USE, EXITS OR OCCUPANCY.",$7000.00
102509812,1,MANHATTAN,645,MADISON AVENUE,A2,SIGNED OFF,N,N,2002-02-06 ,COM,,CORPORATION,"REMODELING EXISTING OFFICE SPACE.  NEW PARTITONS AND NEW DROP CEILING. NO CHANGE OF EGRESS, OCCUPANCY AND USE.",$55000.00
540139394,1,STATEN ISLAND,624,VAN DUZER ST,A2,PERMIT ISSUED - ENTIRE JOB/WORK,N,N,2017-12-20 ,R-3,R-3,INDIVIDUAL,"INSTALL PV SYSTEM ON THE EXISTING ROOFTOP.  NO CHANGES TO THE EGRESS, USE OR OCCUPANCY.",$14000.00
220670682,1,BRONX,455,EAST 146 STREET,A2,SIGNED OFF,N,N,2020-02-12 ,RES,RES,NYCHA/HHC,INSTALLATION OF BOILER AS SHOWN ON PLANS FILED HEREWITH.,$632000.00
123200945,1,MANHATTAN,104,EAST 10TH STREET,A3,SIGNED OFF,Y,N,2019-01-08 ,RES,RES,PARTNERSHIP,"TEMPORARY LPC MOCK UP OF POTENTIAL ENLARGEMENT. NO CHANGE TO USE, OCCUPANCY OR EGRESS PROPOSED UNDER THIS APPLICATION.",$1000.00
440513142,1,QUEENS,86-15,BROADWAY,A2,SIGNED OFF,N,N,2019-01-11 ,RES,RES,CONDO/CO-OP,INSTALL CHIMNEY LINER PER PALNS.,$125243.00
